text,label
This project deadline is stressing me out big time,Angry
I'm still mad at him for what he said yesterday,Angry
My computer just froze up on me again,Angry
I'm really frustrated with this traffic right now.,Angry
My boss is being super unreasonable today.,Angry
I feel so annoyed at my neighbor's noise.,Angry
This assignment is really pissing me off now.,Angry
I'm getting tired of being disrespected like this.,Angry
I'm so angry at myself for forgetting that.,Angry
This situation is really infuriating me right now.,Angry
I'm totally sick of dealing with this nonsense daily.,Angry
My boss is driving me absolutely insane today.,Angry
I hate everything about this stupid situation.,Angry
I'm so angry I could scream right now.,Angry
My frustration level is off the charts today.,Angry
"This is ridiculous, I've had enough of this crap.",Angry
"I feel like punching something, so angry right now.",Angry
My day has been ruined by this one person.,Angry
"I'm beyond furious, can't even think straight.",Angry
I'm fed up with waiting for a response already.,Angry
This noise is driving me crazy honestly though.,Angry
I'm seriously annoyed at my sibling right now.,Angry
Can't believe my favorite show got cancelled again.,Angry
Today was such a waste of time for me ugh.,Angry
My neighbor's music is way too loud again tonight.,Angry
I'm getting pretty irritated with this slow service here.,Angry
Why do people always have to cut me off driving?,Angry
My boss is being super unfair to me again.,Angry
I feel frustrated with this stupid assignment due tomorrow.,Angry
I'm getting really tired of waiting in line here.,Angry
I'm really upset that my favorite show got cancelled.,Angry
My neighbor's music is driving me crazy tonight.,Angry
This customer service is taking forever to respond.,Angry
I'm getting fed up with all these annoying emails.,Angry
I'm so fed up with this situation right now.,Angry
Today was a complete disaster for me somehow.,Angry
I feel incredibly angry about what you said.,Angry
My day just got ruined by that stupid comment.,Angry
I'm seriously furious at the world right now.,Angry
That person is literally driving me crazy today.,Angry
I'm beyond frustrated with this traffic jam already.,Angry
My anger level is through the roof today somehow.,Angry
I feel like screaming at everyone right now honestly.,Angry
This is literally the worst day of my life.,Angry
My day was ruined by that one annoying person.,Angry
I feel so annoyed by this endless paperwork.,Angry
"Ugh, I hate it when people don't listen to me.",Angry
This situation is really getting on my nerves today.,Angry
I'm so tired of dealing with this drama again already.,Angry
That comment really irritated me for some reason.,Angry
I feel pretty upset about what just happened at work.,Angry
My mood is being ruined by this stupid weather outside.,Angry
I'm really fed up with this slow internet connection today.,Angry
My boss is being super unreasonable again today.,Angry
I'm so annoyed with my sister's constant questions.,Angry
This project is stressing me out big time today.,Angry
I feel really upset about what happened last night.,Angry
Why do people always cut me off in line?,Angry
"Ugh, my internet connection is driving me crazy.",Angry
I'm fed up with all these annoying telemarketers calls.,Angry
My roommate's mess is really getting on my nerves.,Angry
I'm seriously annoyed at how slow this line is moving.,Angry
My boss is being super annoying today again.,Angry
I'm so done with this project already.,Angry
Today has been a complete waste of time so far.,Angry
I'm getting really fed up with these errors constantly.,Angry
My neighbor's noise is driving me crazy tonight.,Angry
I feel like screaming at this stupid computer screen.,Angry
I'm totally annoyed with my sibling right now honestly.,Angry
This day has been one huge disappointment after another.,Angry
I'm really upset about what happened last night still.,Angry
I feel frustrated with this situation honestly.,Angry
Today has been a pretty terrible day so far.,Angry
My roommate is being super inconsiderate again.,Angry
I'm getting really angry about this whole thing.,Angry
This situation is really starting to infuriate me.,Angry
I feel so irritated with the way things are going.,Angry
My day just got ruined by one stupid mistake.,Angry
"I'm so angry at you right now, seriously.",Angry
This day has been a total disaster already.,Angry
I hate when people do that to me.,Angry
"I'm furious about what just happened, ugh.",Angry
I don't even want to talk to him right now.,Angry
"This is so infuriating, I just want to scream.",Angry
I'm beyond frustrated with this stupid project.,Angry
I'm literally shaking with anger right now.,Angry
"My anger is boiling over, I need a break.",Angry
I'm so annoyed with this traffic jam right now.,Angry
"My boss is really frustrating me today, ugh.",Angry
I'm getting pretty fed up with this situation.,Angry
"This homework is really pissing me off, honestly.",Angry
My day is being ruined by this stupid mistake.,Angry
I'm feeling really irritated with my roommate right now.,Angry
"This is so unfair, it's really annoying me.",Angry
"I'm getting angry about this whole thing, seriously.",Angry
"My patience is wearing thin with this situation, ugh.",Angry
I'm literally fuming right now at this situation.,Angry
I'm so done with this stupid traffic jam.,Angry
I'm furious at what just happened at work.,Angry
"This is ridiculous, I'm so angry right now.",Angry
"I hate my life today, it's so unfair.",Angry
I'm fed up with these constant lies and excuses.,Angry
My anger level is off the charts today.,Angry
"I'm seething with rage, can't even talk.",Angry
I'm beyond furious at what you just did.,Angry
Can't believe my team lost again today.,Angry
I'm really annoyed with my boss's attitude.,Angry
My day just got ruined by this news.,Angry
I'm fed up with these constant delays.,Angry
This homework is really pissing me off now.,Angry
I'm getting sick of all these bills piling up.,Angry
Why do I always get stuck with the worst tasks?,Angry
I'm so angry that I wasted my whole morning.,Angry
I'm so annoyed with this traffic right now honestly,Angry
"Ugh, my boss is being super unfair again today",Angry
I'm really frustrated with this situation right now,Angry
Can't believe my neighbor is being so loud again,Angry
My sister is driving me crazy right now seriously,Angry
I'm getting really angry about this whole thing now,Angry
This day has been a total disaster so far,Angry
I'm so irritated with this slow internet connection,Angry
I'm beyond annoyed with these constant delays,Angry
My roommate is being super annoying today again.,Angry
I feel angry about what happened last night honestly.,Angry
This customer service rep isn't helping me much.,Angry
My boss has been stressing me out all morning.,Angry
The internet connection here is ridiculously slow ughhh!,Angry
I don't appreciate their attitude towards me today either.,Angry
My favorite store ran out of my size again seriously.,Angry
I got a pretty ridiculous parking ticket yesterday arghh!,Angry
My sibling is not pulling their weight in household chores,Angry
I'm getting a bit frustrated with this traffic jam.,Angry
"Ugh, my morning coffee was way too weak today.",Angry
"My sister's been bugging me all day, it's annoying.",Angry
I'm pretty irritated with this slow internet connection.,Angry
Why did they have to cancel my favorite show?,Angry
"My day's been pretty disappointing so far, honestly.",Angry
Can't believe I forgot my lunch at home again!,Angry
This homework assignment is such a pain to do!,Angry
My phone's battery life is really frustrating me lately.,Angry
I'm so annoyed with this traffic right now honestly.,Angry
My boss is really pissing me off today again.,Angry
I feel super frustrated with this situation at work.,Angry
"This noise is driving me crazy, seriously stop it.",Angry
I'm really fed up with these people's attitude problems.,Angry
This day just keeps getting worse and worse somehow.,Angry
I'm so done with this ridiculous homework assignment already.,Angry
Can't believe my neighbor's dog is barking again loudly.,Angry
I'm getting really irritated with these slow internet speeds.,Angry
My friend's constant lateness is really infuriating me today.,Angry
Can't believe my team lost the game again today.,Angry
I'm so annoyed with my neighbor's loud music always.,Angry
Today was a total disaster from start to finish honestly.,Angry
I feel really upset about what happened last night still.,Angry
My sister is being super annoying and it's getting old.,Angry
I'm fed up with these constant delays and excuses always.,Angry
I had the worst argument with my friend this morning.,Angry
I'm really disappointed in how things turned out today sadly.,Angry
I'm so angry that my flight got cancelled again today.,Angry
I'm so annoyed with my sister right now.,Angry
My day just got ruined by this traffic jam.,Angry
I feel really frustrated with this situation today.,Angry
I'm getting pretty fed up with this noise.,Angry
My boss is being super unreasonable again.,Angry
I'm so angry about what happened last night.,Angry
I feel like screaming at these people sometimes.,Angry
I'm so done with this stupid bureaucracy already.,Angry
My boss is being super unfair again today.,Angry
This assignment is stressing me out so much.,Angry
I'm getting tired of being ignored like this.,Angry
This noise is driving me crazy right now too.,Angry
I'm so sick of these long lines everywhere always.,Angry
My friend's drama is exhausting me lately too,Angry
I'm so frustrated with this situation right now honestly,Angry
My roommate left their dirty dishes again seriously,Angry
I feel like nobody listens to me anymore,Angry
Today was just a really bad day for me,Angry
I'm still mad about what you said last night,Angry
I hate when people don't respect my time,Angry
My boss is being super unreasonable today ugh,Angry
I feel like I've had it up to here already,Angry
I just can't believe what happened at work today,Angry
"Today has been a total disaster so far, ugh!",Angry
"Someone just cut me off in traffic, great.",Angry
I'm so annoyed with this slow internet connection.,Angry
Why do people always have to be so rude?,Angry
"My day just got ruined by bad news, awesome.",Angry
I'm seriously fed up with this noise pollution outside.,Angry
Can't believe someone ate the last slice of pizza!,Angry
My boss is being super annoying today already.,Angry
I'm really irritated with my phone's battery life.,Angry
"Today is just one of those annoying days, ugh.",Angry
I'm so done with this project at work already.,Angry
I'm getting really annoyed with these spam calls lately.,Angry
"This rain is ruining my whole day, great.",Angry
I'm so fed up with this homework assignment tonight.,Angry
"My internet connection is being super slow today, argh.",Angry
I'm getting really frustrated with this traffic jam.,Angry
I'm so fed up with this broken printer already.,Angry
"Ugh, my day just got ruined by bad news.",Angry
I hate when people don't listen to me properly.,Angry
This noise is really getting on my nerves now.,Angry
My neighbor's music is way too loud tonight.,Angry
I'm getting irritated with these constant delays now.,Angry
This homework is so pointless and annoying too much work.,Angry
Can't believe my favorite store just ran out stock.,Angry
I am beyond furious with him right now seriously.,Angry
My boss is literally the worst person ever today.,Angry
I'm so fed up with this traffic jam already.,Angry
Can't believe he just lied to my face again.,Angry
I'm still fuming about what happened last night ugh.,Angry
This day has been a complete disaster so far obviously.,Angry
Don't even get me started on that stupid policy.,Angry
I'm literally shaking with rage about the news today.,Angry
Just had it out with my roommate again great.,Angry
Why do people always have to be so rude seriously?,Angry
My day is ruined because of one bad meeting.,Angry
"Ugh, I just spilled coffee all over my shirt again!",Angry
I feel so annoyed by my neighbor's loud music today,Angry
"I just got into another argument with my sister, ugh",Angry
"My computer crashed and lost all my work, great",Angry
I'm getting really tired of all these fake promises,Angry
I just wasted two hours on that stupid project,Angry
I feel disrespected by the way he spoke to me,Angry
My boss is being super annoying today somehow.,Angry
"Ugh, I hate it when people are late to meetings.",Angry
Today was a really bad day for me honestly.,Angry
Someone just cut me off in traffic - ugh!,Angry
I'm getting so annoyed with this slow internet speed.,Angry
Why does everything have to go wrong today?,Angry
This weather is ruining my entire weekend vibe.,Angry
Can't believe I got a parking ticket again today.,Angry
Why won't anyone just listen to me for once?!,Angry
I'm so furious about what you did to me.,Angry
"My anger is boiling over right now, ugh.",Angry
I feel completely enraged by this situation.,Angry
Today was the worst day of my life ever.,Angry
"I'm beyond angry, can't even talk right now.",Angry
"This is infuriating, can't believe it's happening again.",Angry
My blood pressure is through the roof right now.,Angry
"You're really pissing me off, stop it already.",Angry
"This situation makes me so incredibly angry, ugh.",Angry
I am literally seething with rage right now.,Angry
My day just got ruined by that idiot.,Angry
I feel like punching someone today honestly.,Angry
This traffic is making me incredibly angry.,Angry
I'm fed up with this situation already.,Angry
That person just makes my blood boil.,Angry
I'm still fuming about what happened yesterday.,Angry
I hate it when people do that to me.,Angry
My patience is wearing thin today seriously.,Angry
I'm getting frustrated with this traffic jam already.,Angry
"Ugh, my day is off to a bad start.",Angry
My boss is really pissing me off today though.,Angry
I hate it when people cut in line like that.,Angry
This headache is ruining my whole day basically.,Angry
I'm a bit irritated with my sibling right now tbh,Angry
"Maybe it's just Monday, but everything annoys me,",Angry
This work project has been such a pain to deal,Angry
I am low-key mad at my best friend atm,Angry
I'm really frustrated with this stupid traffic jam.,Angry
Someone just cut me off in line again.,Angry
I hate it when plans get changed last minute.,Angry
This assignment is way more work than expected.,Angry
People need to stop being so insensitive sometimes.,Angry
I just spilled coffee all over my shirt again.,Angry
My neighbor's music is ridiculously loud tonight again.,Angry
.I got stuck with a huge unexpected bill today.,Angry
Some drivers are literally impossible to deal with daily,Angry
I'm really annoyed with this traffic right now,Angry
My boss is driving me crazy today,Angry
I'm so frustrated with this stupid project,Angry
"Ugh, my day just got worse somehow",Angry
I hate it when people don't listen to me,Angry
This homework is really pissing me off now,Angry
My sibling is being super annoying today,Angry
I'm getting so sick of these spam calls,Angry
Why does everything have to be so hard?,Angry
This morning has been a total disaster,Angry
I'm really annoyed with this traffic right now.,Angry
My day was ruined by that stupid meeting.,Angry
I feel frustrated with this assignment due tomorrow.,Angry
I'm so done with this slow internet connection.,Angry
This noise is driving me crazy right now.,Angry
I'm getting really irritated with my roommate's mess.,Angry
My boss is being super unreasonable today again.,Angry
I'm fed up with waiting in this long line.,Angry
This situation is really getting under my skin.,Angry
I'm pretty upset about what happened last night.,Angry
"My boss is driving me crazy today, honestly.",Angry
I'm so fed up with this noisy neighborhood already.,Angry
"Today has been super annoying so far, ugh.",Angry
I'm seriously annoyed at this broken coffee machine.,Angry
My day has been pretty crappy thanks to him.,Angry
I feel really irritated by these constant interruptions now.,Angry
This weather is making me grumpy and stuffy too.,Angry
My commute home was incredibly frustrating again today,Angry
I am literally at my wit's end with this paperwork,Angry
This noise is driving me absolutely crazy tonight.,Angry
I'm seriously frustrated with my phone's battery life.,Angry
Today has been a really irritating day so far honestly.,Angry
I'm getting pretty tired of these unnecessary arguments.,Angry
My commute was super stressful this morning too.,Angry
I'm really disappointed in how this turned out obviously.,Angry
This whole situation is just pissing me off now,Angry
I'm really frustrated with my boss right now.,Angry
This traffic is making me so angry today.,Angry
I hate it when people cut me off like that.,Angry
This project is stressing me out so much.,Angry
I'm fed up with waiting for my package still.,Angry
That comment really rubbed me the wrong way.,Angry
My internet is being super slow and annoying me.,Angry
This customer service is ridiculous and frustrating.,Angry
I'm getting sick of these spam calls every day.,Angry
I'm really annoyed with my neighbor right now.,Angry
Today has been a frustrating day so far honestly.,Angry
My sister is getting on my nerves big time.,Angry
I feel pretty upset about what happened yesterday morning.,Angry
"Traffic is driving me crazy today, ugh!",Angry
"My boss is stressing me out, not cool at all.",Angry
My phone battery died and it's super annoying.,Angry
"People cutting in line are the worst, you know?",Angry
Someone ate the last slice of pizza and it's mine!,Angry
"The weather forecast lied to me, great just great!",Angry
"Ugh, my boss is being super unreasonable today again.",Angry
I'm really frustrated with my internet connection issues.,Angry
Can't believe my favorite store ran out of stock already.,Angry
This homework is stressing me out way too much.,Angry
I'm pretty upset with my friend's flaky behavior lately.,Angry
Why does my sibling always have to be so loud?,Angry
Just had the worst customer service experience ever today.,Angry
I'm getting really tired of this noise pollution outside.,Angry
My neighbor's dog is barking nonstop and it's infuriating me.,Angry
I'm so annoyed at this slow internet connection.,Angry
My boss is being super unreasonable again today too.,Angry
That comment really rubbed me the wrong way honestly.,Angry
This traffic jam is killing my morning vibe completely.,Angry
My neighbor's noise is driving me a bit crazy tonight.,Angry
That mistake was totally avoidable and frustrating for me too.,Angry
Can't believe they changed our plans without telling us first.,Angry
Today was just one frustrating thing after another.,Angry
My boss is driving me crazy lately.,Angry
I feel so irritated with this situation.,Angry
This noise is really getting on my nerves.,Angry
My day was ruined by one stupid mistake.,Angry
I'm getting pretty fed up with this wait.,Angry
I'm so angry with myself for forgetting that.,Angry
Can't believe my team lost that game again today.,Angry
This cold coffee is really ruining my morning vibe.,Angry
"Ugh, I spilled coffee all over my new shirt again.",Angry
My neighbor's loud music is getting on my nerves.,Angry
So annoyed that it's raining on my outdoor plans today,Angry
I hate when people don't respect personal space like that,Angry
I'm really disappointed in the service here so far honestly,Angry
My boss is being super unreasonable today it feels like,Angry
I just wasted an hour on that pointless meeting ugh,Angry
I'm fed up with these constant software updates.,Angry
This noise is driving me crazy at work.,Angry
I'm seriously frustrated with this parking situation.,Angry
Why do these things always happen to me?,Angry
I'm so irritated with my roommate's mess again.,Angry
Today was just one big headache for me somehow.,Angry
I'm really disappointed in how that meeting went down.,Angry
"Ugh, this customer service is ridiculous right now.",Angry
I feel annoyed at my sibling's attitude.,Angry
I'm fed up with this stupid assignment already.,Angry
"Today was a total waste of time, thanks to him.",Angry
My neighbor's music is infuriating me tonight.,Angry
I'm getting really irritated with this customer service.,Angry
The way they treated me was totally unacceptable.,Angry
This situation is just ridiculous and making me mad.,Angry
Can't believe my boss did that to me.,Angry
Today has been a really bad day so far.,Angry
I'm fed up with these long lines everywhere lately,Angry
. Why did he have to ruin everything?,Angry
. Feeling pretty annoyed with myself today actually,Angry
. Just had the worst argument with my sister again,Angry
. So sick of these spam calls every hour,Angry
. Not impressed with the service here at all,Angry
. Seriously irritated with this weather forecast,Angry
I'm so furious about what he just said to me.,Angry
My boss is making my life a living hell today.,Angry
I am beyond angry at her right now seriously.,Angry
Can't believe they would do that to me again.,Angry
I feel like punching someone right now honestly.,Angry
This traffic is driving me absolutely insane today.,Angry
My sister is pushing all my buttons right now.,Angry
I am literally shaking with rage right now help.,Angry
Today was the worst day ever thanks to him.,Angry
Why does everyone always have to ruin my day?,Angry
Can't believe my boss did that to me again.,Angry
"Today was really frustrating, to be honest.",Angry
I'm getting pretty sick of these delays already.,Angry
That comment really got under my skin today.,Angry
My day just went from bad to worse somehow.,Angry
"I'm fed up with this situation, seriously.",Angry
I'm getting angry just thinking about it now.,Angry
"This is really pissing me off, not gonna lie.",Angry
I feel annoyed at the way they treated me.,Angry
The service here is ridiculously slow and bad.,Angry
I feel disrespected by their careless words today.,Angry
This situation is seriously pissing me off now.,Angry
"My anger is boiling over today, no joke.",Angry
"I'm literally seething with rage right now, ugh.",Angry
Today has been an infuriating nightmare for me.,Angry
"I'm beyond furious at what just happened, seriously?",Angry
"My patience is wearing thin, almost gone actually.",Angry
"This situation is making me ridiculously angry, honestly.",Angry
"My anger is at an all-time high right now, help.",Angry
I'm so done with people pushing my buttons today.,Angry
I'm so furious with my boss right now.,Angry
Today has been a complete disaster already.,Angry
I hate it when people lie to me.,Angry
My day just got ruined by one person.,Angry
I'm fed up with all these stupid rules.,Angry
I feel so angry and helpless right now.,Angry
This situation is really pissing me off.,Angry
"People can be so infuriating sometimes, ugh!",Angry
I'm slightly annoyed at this traffic jam.,Angry
My day is being ruined by this rain.,Angry
I feel frustrated with this slow internet.,Angry
I'm a bit miffed at what you said earlier.,Angry
This homework is really getting on my nerves.,Angry
My morning was ruined by a bad coffee.,Angry
I'm feeling a bit irritated at this noise level.,Angry
This long line is starting to annoy me slowly.,Angry
I'm a little upset about missing that deadline yesterday.,Angry
My boss is being super frustrating today again.,Angry
I feel really irritated with that guy's attitude problem,Angry
This project is stressing me out big time already,Angry
I'm getting pretty tired of waiting for responses,Angry
My mom is really getting on my nerves today,Angry
I'm annoyed that I forgot my lunch at home,Angry
That person cut in front of me on purpose,Angry
I don't like how things are going down tonight,Angry
I'm fed up with all these annoying emails.,Angry
Today has been a complete waste of time.,Angry
I'm seriously annoyed at my roommate's mess.,Angry
I'm getting really tired of all these excuses.,Angry
This situation is making me so angry right now,Angry
I'm so frustrated with this traffic right now honestly,Angry
My boss is really getting on my nerves today,Angry
I feel pretty annoyed at my roommate's mess again,Angry
Today was just one annoying thing after another ugh,Angry
I'm getting really tired of people cutting in line,Angry
My sister's attitude is really irritating me lately,Angry
Why does everything have to be so difficult sometimes?,Angry
Being stuck in this meeting is wasting my time,Angry
I hate when people don't respect my personal space,Angry
My day is ruined because of that stupid mistake,Angry
I'm getting really frustrated with this project already,Angry
"Ugh, I hate it when people do that to me",Angry
"I'm so done with this argument, can we move on?",Angry
I feel like nobody ever listens to me anyway,Angry
My brother is being super annoying right now ugh,Angry
I hate how slow this internet connection is ughh,Angry
I'm starting to get pretty annoyed at this whole situation,Angry
This day has been going downhill since morning,Angry
I'm really annoyed with this traffic jam right now.,Angry
My boss is being super unfair to me again today.,Angry
I'm getting frustrated with these stupid computer errors already.,Angry
Today's meeting was such a huge waste of time ugh,Angry
I feel irritated when people don't listen to me properly,Angry
This rain is ruining my whole day's plans basically,Angry
My sibling is being super annoying right now as usual,Angry
That decision was totally unfair and it's bothering me,Angry
My day is ruined because of you.,Angry
I feel like screaming at the top of my lungs.,Angry
This is literally the worst day ever for me.,Angry
I'm beyond angry about what just happened.,Angry
My patience has officially worn off today.,Angry
I'm fuming about what you said to me.,Angry
Today has been a complete disaster so far.,Angry
"I'm seething with rage right now, honestly.",Angry
I've had enough of your lies and excuses already.,Angry
I'm so frustrated with my job right now honestly.,Angry
I feel annoyed by all these minor setbacks lately.,Angry
This traffic is ridiculous and wasting my time too.,Angry
I'm getting tired of all these unnecessary drama always,Angry
My friend's attitude is starting to annoy me lately too,Angry
I'm fed up with all these fake people around here,Angry
My day was ruined by one stupid mistake only,Angry
I feel irritated by all these noisy neighbors again,Angry
I'm really upset with how this situation was handled,Angry
I'm so fed up with this assignment already.,Angry
My neighbor's music is really pissing me off.,Angry
I'm getting really tired of waiting in line.,Angry
This situation is making me really angry today.,Angry
I don't appreciate being ignored like this always.,Angry
My internet connection is infuriating me today somehow,Angry
My day is ruined thanks to that jerk.,Angry
"I feel incredibly angry right now, ugh!",Angry
I hate everything about this stupid situation!,Angry
"Ugh, my blood is boiling after that call!",Angry
Why does everyone always have to be so rude?!,Angry
That comment made my anger go through the roof!,Angry
"Today has been a complete disaster, thanks for nothing!",Angry
I'm beyond livid about what happened earlier!,Angry
1 I am seriously fuming right now about this situation,Angry
2 Today was a complete disaster thanks to him,Angry
3 My mom makes me so angry sometimes honestly,Angry
4 That conversation still has me boiling inside,Angry
5 Can't believe what he did to me yesterday,Angry
6 So done with everyone's lies and excuses,Angry
7 Don't even get me started on her attitude,Angry
8 Today has been a total nightmare for me emotionally,Angry
9 Just had the worst fight with my best friend,Angry
10 So sick of being disrespected all the time,Angry
I feel annoyed when people don't listen to me.,Angry
I'm getting tired of people making excuses all time.,Angry
"Today was a pretty bad day, just very angry feelings.",Angry
I hate it when people interrupt me while talking though.,Angry
My roommate's mess is starting to infuriate me actually.,Angry
"I feel irritated when things don't go as planned, obviously",Angry
I'm fed up with all these bills and payments lately,Angry
I'm so furious about what just happened.,Angry
I feel like screaming right now honestly.,Angry
This traffic is making me ridiculously angry.,Angry
I'm beyond frustrated with this situation already.,Angry
"Ugh, my neighbor is being super loud again.",Angry
Today was the worst day of my life so far.,Angry
I'm so done with people's lies and drama now.,Angry
Why does everything always have to go wrong?!,Angry
This noise is seriously pushing me over the edge,Angry
My day is going downhill fast today ugh.,Angry
I feel frustrated with this stupid computer glitch.,Angry
"Ugh, my phone battery died again already.",Angry
I'm getting really tired of these spam calls too.,Angry
Today has been pretty disappointing so far honestly.,Angry
My plans got ruined and I'm kinda annoyed now.,Angry
I feel irritated when people don't listen carefully.,Angry
This rain is really messing up my mood today.,Angry
I'm kinda frustrated with myself right now actually,Angry
I'm so frustrated with this traffic jam again today,Angry
My boss is really getting on my nerves lately,Angry
I'm getting tired of waiting for this response already,Angry
I feel super annoyed by that comment you made,Angry
My day was ruined by one silly mistake too,Angry
I'm fed up with these constant delays and excuses,Angry
I hate when people don't respect my time like this,Angry
This slow internet is driving me crazy right now,Angry
I'm still mad about what happened last night honestly,Angry
I don't appreciate your attitude towards me lately,Angry
I am literally fuming right now about this.,Angry
Today was the worst day of my life.,Angry
My day just went from bad to worse.,Angry
I feel like punching something right now honestly.,Angry
This situation is making me incredibly angry.,Angry
I'm beyond furious about what happened yesterday.,Angry
my blood pressure is through the roof right now,Angry
I am so fed up with everything today seriously,Angry
"Ugh, my boss is being super unfair today.",Angry
I'm getting really frustrated with this homework assignment.,Angry
I'm fed up with people cutting me off in line.,Angry
My neighbor's music is really getting on my nerves.,Angry
I'm still mad about what you said last night honestly.,Angry
This rainy weather is putting me in a bad mood.,Angry
I'm so done with this stupid project already finished.,Angry
My day just got ruined by that one phone call.,Angry
I feel like screaming at everyone around me.,Angry
This traffic is making me incredibly angry somehow.,Angry
I hate how he always does that to me.,Angry
My day just got ruined by that one call.,Angry
I'm literally shaking with rage right now too.,Angry
That comment really set me off today somehow too.,Angry
I'm beyond furious at him for what he did.,Angry
I'm really frustrated with this slow internet connection today.,Angry
My boss is being super annoying as usual again.,Angry
I'm so tired of waiting for this bus already now.,Angry
This traffic is making me so angry right now.,Angry
My day just got ruined because of that mistake.,Angry
I'm getting really annoyed with my noisy neighbor again.,Angry
This stupid printer won't work when I need it to.,Angry
changed to: 9.My mom's nagging is driving me crazy lately,Angry
My boss is being super unfair to me today.,Angry
I'm so frustrated with this stupid computer error.,Angry
