tid	text	admiration	amusement	anger	annoyance	approval	boredom	calmness	caring	courage	curiosity	desire	despair	disappointment	disapproval	disgust	doubt	embarrassment	envy	excitement	faith	fear	frustration	gratitude	greed	grief	guilt	indifference	joy	love	nervousness	nostalgia	optimism	pain	pride	relief	sadness	surprise	trust
14819	Deserted by one fallen into calamity, bereft of sense, and despoiled of bliss, it behoveth her not to be angry.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
14901	Timson, that’s Tottle—Tottle, that’s Timson; bred for the church, which I fear will never be bread for him;’ and he chuckled at the old joke.	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15559	As you may well suppose, it was a source of much fun and laughter to the Nimrods to see, regularly hunting with their harriers, a dog which possibly had stanchly pointed at birds the preceding day.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15607	He is like the violets that laugh in spring at the sun."	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
15617	But if to ride My back they stride, More swift than wind away I go, O'er hedge and lands, Through pools and ponds, I hurry, laughing, ho, ho, ho!	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15665	said Darby, after a pause filled by uncontrolled laugh, he looked towards the stables.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15667	There was a laugh that rippled from one end of the deck to the other.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15668	Curly-Tail laughed and said, “Will you give up the doughnut jar, and the cookie jar, and the ginger snap jar, and the cracker jar?”	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15720	You couldn't go sailing if you were in Boston to-day," she added laughingly.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15806	His wife and his children laugh to see Those blossoms of fire from the almond tree-- And the smoke how sweet it smells!” (Hark to the nougat bells!)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15994	I thought it was a little funny that they should be going up to the front door, because I had always noticed that the people who lived around there went in the back way."	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16039	by the way, Matt," said Elmer with a twinkle in his eye, "the first time you're in Hickory Ridge, just stop off at my house, won't you?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
16135	I play'd the cheater for thy father's hand, And, when I had it, drew myself apart And almost broke my heart with extreme laughter.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
16157	Yes, Prior is probably the greatest of all who dally with the light lyre which thrills to the wings of fleeting Loves--the greatest English writer of _vers de societe_; the most gay, frank, good-humoured, tuneful and engaging.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16290	Miss Rowrer is of the same opinion; they are as merry as children.”	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16386	I ’ve no end of unused muscle," said Jack, entering into the fun of the situation.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16455	The amused deacon turned around and took from the egg-pile the identical one he had received.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16566	Nowadays it causes us to smile when we read of the tremendous effect produced throughout the country by the news that this coach left London at eight o'clock in the morning and arrived at Bristol at eleven the same evening!	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
16637	It's funny Falk ain't quite a light man nor yet a real dark man."	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16732	It was with real delight that I heard an old grey-bearded bard in the theatre chant some runes of the great epic, "Kalevala," to a beautiful old--perhaps pre-historic--modal melody.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
17057	A charming idea, that I should go and hang her round the neck of a miserable beggar of a dauber, without a rap to bless himself with!"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17150	Swinging backward and forward from the branch, the bachelor jumped at him, bit his ear playfully and made faces at him, chattering all the time.	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17305	By the way," added Ribeaupierre, with a smile of waggery, "your lively Spanish friend, Donna Isidora, will be quite consoled when I tell her that I have seen you--alive and well too!	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
17548	said Harry, deliberately fumbling in his pocket, amusing himself with her excited air.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17574	He halted abruptly, a ring of shifting sunshine through the leaves playing on his purple face, and, after one long glance of theatrical astonishment, he burst into his familiar guffaw.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
17713	Sam and Peter was delighted, and they talked about it as if it was a pantermime, and old Sam said that when he was a young man he'd ha' fought six Bill Lumms afore he'd ha' given a gal up.	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
17877	Cap'n Phin Davies seemed to know something, and it was nearly always funny, about every one who lived in the quaint houses set here and there under century old trees.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18083	He's been here two or three times, and I must confess I find him a most alluring rascal.”	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18138	The miracle of the manna on the wall is, however, amusing, the manna being rather like melons and the quails as large as pheasants.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18203	The driver climbed to his seat, chuckling, and drove away with the dust flying after the wheels.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18234	On the camp calendar, to-day is marked down as a half-holiday, which is another one of the pleasant little jokes they have down here.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18331	Yates merrily spun the coin in the air, caught it in one hand, and slapped the other over it.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18420	Finally a look of amusement crosses his face, and he returns slowly to his seat beside the table, slowly selects a segar, and slowly lights it.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18595	Jimmie Dale, lazily ensconced now in a lounging chair in one of the club's private library rooms, flicked a minute speck of cigar ash from the sleeve of his dinner jacket, and smiled whimsically across the table at his friend.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18596	Rather an interesting situation this--an odd confusing of good motives with bad--an amusing symptom of good feeling in speculator Jimmie, to be taking up the support of a young man who had been ruined through his advice.	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18652	The manner in which Josephine received the news of her enemy’s death was strange and interesting.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19010	The child pressed a forefinger to her smiling lips, while she looked across the table in merry response.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19110	Gygi, standing in the door of his barn, raised his peaked hat and smiled.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19217	Goodness, Abbott, it's so much fun talking to you...I've never mentioned all this to one soul in this town...Well--oh, yes; I was to have come into the ring, riding Samson.	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
19480	The very thought of such an incorrigible witch as you palming yourself off as a demure Puritan maiden is the climax of comical absurdity."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19556	And chuckling over this piece of good luck, Hugh set out again, only pausing for a good drink at the town-pump.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19787	It occasioned a world of merriment, and was taken in excellent part.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19808	But we wuz tickled, for we knew we could sell 'em to the grocer man at Jonesville for upwerds of a dollar bill.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19890	It was amusing to observe how constantly they turned again in the direction of the distant river, after being handled and set down on the sand with their heads facing the opposite quarter.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19955	Christophe poked fun at the burlesque solemnity of the music and the musicians.	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20032	Vittoria threw large eyes upon Ammiani, and set the underlids humorously quivering.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20127	But instead of the serious mien proper to such an occasion he was smiling broadly.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20604	The figures attached to the fountain under the tower are comically described as follows:--	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20777	They came up to me afterwards, congratulated me on my excellent imitation of a séance, and remarked “Of course it was quite easy to see you were pushing the glass.	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
22474	No one so much as glanced at her, or seemed to think of her at all: their attention was wholly occupied with the injured little one.	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
22860	This is the language of naval warfare, and is anything but worthy of extraordinary praise.	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26373	But Lepailleur, raising his fists, retorted: "No, no; I've had enough of her!"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26465	Head erect, red lips compressed, breast heaving, she surveyed him through narrowed lids.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26493	Shrieking with pain, and stamping with anger, Matilda instantly cried out that she was murdered, and the wretch should be flayed alive.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26537	O vile wight, enraged I have devoured many thousand persons holding weapons like thee.	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26677	His hollas began again at once, however, for at the terrifying prospect of being thus incarcerated in so awful a manner he flung himself once more on his knees, and bellowed out:	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26692	Dat ain't all; de same Good Lawd is gwine to lick you a thousand lashes for evvy time you is done made fun of dis very meetin'.'	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26841	Say, I'd eat you out of house and home, Obed, if I stayed very long at your ranch."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27001	Leave me in the gutter, where I belong!’ And he rushed out of the room.	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27632	Then she flew into a passion, her hair hung wildly about her face, she pushed him with her foot and screamed:	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27747	O, if that dead man’s hand should still be on it, buying her soul to his in vengeance!”	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27778	Then said Osbert in great rage, “Stay, bowmen, your hands; back, carls, _I_ will deal, for he hath slain my kinsman.”	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
28065	he shouted, 'I'll teach you to guzzle while we others are risking our skins!'	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28179	As cross as two sticks, I grabbed that girl by the arm and shoved her along the field to the house.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28213	Then, with a choking oath, he threw the table aside and the lamp went crashing to the floor.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28254	Had it been elsewhere, it would have given me great satisfaction to thrash you till you begged like a cur at my feet!”	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28269	WHEN Sitā, having a husband although seeming as if she had none, was putting on the ascetic guise, the people got into a wrath and exclaimed, "O Daāaratha, fie on you!"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28362	exclaimed Sharp, in an angry voice, at this, half raising his hand to strike the lad.	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28395	I do not want you, bloody, greasy woman,' he cried, and went still farther off behind his men.	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28462	Upon opening it the crimson colour flew into her face, and she exclaimed, "Olivia's letters!--Lady Olivia ----'s letters to Mad.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
28501	Upstairs we heard Colette, furious and disgusted, rail against the tipsy fellow:	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28781	Satsuma sprang to his feet, his great form swelling with wrath, his heavy face dark with menace.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29090	With a suppressed cry of disgust I tear myself free, and in me arises a passionate protest—No, never—	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29112	Montrecour, with an exclamation full of the bitterness of his soul, flung me from him, and swearing that my respite should be brief, darted from the chapel, followed by the soldiers.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29158	He spat into the wind, blew his nose in his burnous, and answered:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29448	Then he whistled, and shouted, and pulled his ears, and kicked at him, and mixed all sorts of encouraging words with acts of the most violent kind.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29478	Then I, your scorn, shall still be man and chief; Turning to free your hands so carelessly, carelessly, You will be dead to love past all belief.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
30272	Mr. E. shouted to him to shoot the wretches if they would not come.	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30517	Hogarth leapt up and walked out; he muttered: “The land is his, but he is mine....”	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30585	Oh, Sam!’ said she (how she bit in her temper that hitch, didn’t she?)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
30665	Indignation, real or affected; wrath, however hot; fury, however enraged; asseverations, however violent; denunciation, however furious; will avail nothing.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30857	I would fall into a rage, and that not against such as were my subjects or servants, but against my Elders and my betters, and I would revenge myself upon them by crying."	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30888	He, then, peremptorily demanded more, and, upon being refused, he requested to see the cheque, disputing the amount, which being handed to him, he immediately tore it to pieces, and left the room.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30909	he exclaimed, as he hurled his gleaming sabre among the people he had just quitted: "I may now die among my countrymen."	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30955	The captain, a stout man, who spoke French with scarcely any foreign accent, was violently upbraiding old Fouchard: 'It cannot go on like this,' he said; 'you are playing the fool with us!	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31136	But a violent irritation was produced in her by the effort, all the same, and she turned sharply to Bill Atterton.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31464	The big man who was his father turned in his bunk, swore at the woman, went out banging the sagging screen door.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31545	Ramsey Thomas, baffled, angry, distressed, wriggled out of his car to the sidewalk and faced Courtland, curiously conspicuous and recognizable with all his disarray.	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
31548	In a state of boiling indignation he rushed to the street, and on the way to the office of publication called the attention of various acquaintances to the wrongful statement, which, it appeared, no one had observed.	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31588	he exclaimed, with surprise and indignation in his tone, all the more so that he read a baffled and confused expression in the face of the other.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31594	Isn't the Almighty in his wrath, this moment proclaimin' it through the heavens and the airth?	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31845	he exclaimed, letting go my hand and leaning both elbows on his knees, while he pushed his hat to the back of his head--"perfectly mad with fury and jealousy!	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31936	I will fight Simone, I will kill Simone, you will be free."	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32301	She kept on her journey until it was day, And went unto Rumford along the high way; Where at the Queen's arms entertained was she: So fair and well-favoured was pretty Bessee.	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32886	Look at G-SCH-N's own particular plant there--a bit late, but very promising, and probably destined to take a prize before the season's over.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
